Date,High,Low,Open,Close,Volume,Adj Close,Total Traded,DailyReturn,Cumulative Returns
2012-01-03,5.900000095367432,5.53000020980835,5.788000106811523,5.616000175476074,4640500,5.616000175476074,26859214.495658875,,
2012-01-04,5.734000205993652,5.5,5.642000198364258,5.541999816894531,3150500,5.541999816894531,17775121.624946594,-0.013176701614912245,0.9868232983850878
2012-01-05,5.585999965667725,5.369999885559082,5.552000045776367,5.423999786376953,5027500,5.423999786376953,27912680.230140686,-0.021291958573845582,0.9658118975961668
2012-01-06,5.558000087738037,5.2820000648498535,5.440000057220459,5.381999969482422,4931500,5.381999969482422,26827360.282182693,-0.0077433293784447965,0.9583332979554589
2012-01-09,5.498000144958496,5.223999977111816,5.400000095367432,5.449999809265137,4485000,5.449999809265137,24219000.42772293,0.012634678589426684,0.9704415311566713
2012-01-10,5.552000045776367,5.449999809265137,5.48799991607666,5.52400016784668,3359000,5.52400016784668,18434191.7181015,0.013578047921348535,0.9836182327715834
2012-01-11,5.676000118255615,5.460000038146973,5.52400016784668,5.645999908447266,3361500,5.645999908447266,18568926.564216614,0.022085397699787235,1.0053418326271057
2012-01-12,5.723999977111816,5.561999797821045,5.696000099182129,5.650000095367432,3646500,5.650000095367432,20770464.361667633,0.0007084992888826136,1.006054116600606
2012-01-13,5.699999809265137,4.5279998779296875,5.679999828338623,4.558000087738037,27502000,4.558000087738037,156211355.2789688,-0.19327433437120667,0.8116096768732116
2012-01-17,5.4679999351501465,5.2820000648498535,5.323999881744385,5.320000171661377,23258000,5.320000171661377,123825589.2496109,0.16717860229386083,0.9472934482610471
2012-01-18,5.375999927520752,5.25,5.3379998207092285,5.361999988555908,6301000,5.361999988555908,33634736.87028885,0.00789470216904431,0.9547720479017551
2012-01-19,5.547999858856201,5.322000026702881,5.438000202178955,5.3520002365112305,6231500,5.3520002365112305,33886898.25987816,-0.0018649295162290747,0.9529914653283527
2012-01-20,5.400000095367432,5.28000020980835,5.380000114440918,5.320000171661377,3311500,5.320000171661377,17815870.3789711,-0.00597908509636258,0.9472934482610472
2012-01-23,5.441999912261963,5.320000171661377,5.361999988555908,5.354000091552734,2973000,5.354000091552734,15941225.965976715,0.006390962179375181,0.9533475648616535
2012-01-24,5.535999774932861,5.288000106811523,5.326000213623047,5.484000205993652,4290000,5.484000205993652,22848540.91644287,0.024280932427704904,0.9764957326641763
