Date,Open,High,Low,Close,Adj Close,Volume
2001-11-26,115.750000,116.339996,115.070000,115.930000,78.499275,13726000
2001-11-27,115.620003,116.900002,114.089996,115.430000,78.160736,19261400
2001-11-28,114.739998,115.169998,113.250000,113.339996,76.745514,20195500
2001-11-29,113.660004,114.919998,113.000000,114.870003,77.781548,16354700
2001-11-30,114.400002,114.910004,114.019997,114.050003,77.226318,13680300
2001-12-03,113.650002,114.080002,113.010002,113.370003,76.765839,15220400
2001-12-04,113.919998,115.300003,113.349998,115.290001,78.065956,17239900
2001-12-05,115.610001,118.000000,115.559998,117.400002,79.494675,25204000
2001-12-06,117.339996,117.940002,116.930000,117.339996,79.454048,17972900
2001-12-07,116.900002,117.089996,115.699997,116.559998,78.925850,18857800
2001-12-10,115.849998,116.389999,114.349998,114.379997,77.449753,13862700
2001-12-11,114.900002,115.720001,113.900002,114.150002,77.294014,20833300
2001-12-12,114.550003,114.779999,113.110001,114.279999,77.382019,16171500
2001-12-13,113.449997,113.699997,112.040001,112.059998,75.878799,19026700
2001-12-14,112.330002,113.489998,112.000000,113.129997,76.603333,16721900
2001-12-17,112.989998,114.360001,112.900002,114.300003,77.395592,13925900
2001-12-18,114.629997,115.150002,114.339996,114.980003,77.856033,13663700
2001-12-19,114.089996,115.919998,114.000000,115.790001,78.404488,20143400
2001-12-20,115.500000,115.800003,114.550003,114.650002,77.632561,14867900
2001-12-21,115.029999,115.070000,114.199997,114.949997,78.103424,14037700
2001-12-24,114.830002,115.040001,114.610001,114.730003,77.953941,5728800
2001-12-26,114.650002,116.209999,114.650002,115.360001,78.382042,10304800
2001-12-27,115.300003,116.080002,115.250000,116.059998,78.857605,9407300
2001-12-28,116.290001,116.750000,115.919998,116.000000,78.816849,10593800
2001-12-31,116.150002,116.389999,114.230003,114.300003,77.661797,14619500
2002-01-02,115.110001,115.750000,113.809998,115.529999,78.497536,18651900
2002-01-03,115.650002,116.949997,115.540001,116.839996,79.387596,15743000
2002-01-04,117.169998,117.980003,116.550003,117.620003,79.917580,20140700
2002-01-07,117.699997,117.989998,116.559998,116.790001,79.353615,13106500
2002-01-08,116.790001,117.059998,115.970001,116.519997,79.170166,12683700
